ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2019-10-31,206338.94870273382,175267.3965932814,272022.99953748105,206338.94870273382,206338.94870273382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07776895430935349,0.07776895430935349,0.07776895430935349,0.07776895430935349,0.07776895430935349,0.07776895430935349,0.0,0.0,0.0,222385.71297663677
2019-11-30,206864.36131859696,145696.66303069046,235868.8636867966,206864.36131859696,206864.36131859696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07520957986426244,-0.07520957986426244,-0.07520957986426244,-0.07520957986426244,-0.07520957986426244,-0.07520957986426244,0.0,0.0,0.0,191306.1796149363
2019-12-31,207407.2876883222,142432.3516563371,235874.575066033,207407.2876883222,207407.2876883222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0864225778643039,-0.0864225778643039,-0.0864225778643039,-0.0864225778643039,-0.0864225778643039,-0.0864225778643039,0.0,0.0,0.0,189482.61521845407
2020-01-31,207950.21405804736,151760.45601398216,245263.1790169752,207950.21405804736,207950.21405804736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04285335120032486,-0.04285335120032486,-0.04285335120032486,-0.04285335120032486,-0.04285335120032486,-0.04285335120032486,0.0,0.0,0.0,199038.85050283512
2020-02-29,208927.1409457268,159084.95223561738,257740.40003282294,208927.1409457268,208927.1409457268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005155497632723303,0.005155497632723303,0.005155497632723303,0.005155497632723303,0.005155497632723303,0.005155497632723303,0.0,0.0,0.0,210004.26432628414
2020-03-31,209971.44210152206,63874.916058325725,159103.98718689382,209971.44210152206,209971.44210152206,-0.53566,-0.53566,-0.53566,-0.53566,-0.53566,-0.53566,0.0,0.0,0.0,0.0,0.0,0.0,-0.46912750930155583,-0.46912750930155583,-0.46912750930155583,0.0665324906984442,0.0665324906984442,0.0665324906984442,0.0,0.0,0.0,111468.06244397917
2020-04-30,210982.05612325942,42002.82330359141,142955.8007767284,210982.05612325942,210982.05612325942,-0.571138,-0.571138,-0.571138,-0.571138,-0.571138,-0.571138,0.0,0.0,0.0,0.0,0.0,0.0,-0.552798183767052,-0.552798183767052,-0.552798183767052,0.01833981623294799,0.01833981623294799,0.01833981623294799,0.0,0.0,0.0,94351.55869088338
2020-05-31,212026.35727905468,109585.09813656741,202289.66766871608,212026.35727905468,212026.35727905468,-0.222596,-0.222596,-0.222596,-0.222596,-0.222596,-0.222596,0.0,0.0,0.0,0.0,0.0,0.0,-0.2611360118998524,-0.2611360118998524,-0.2611360118998524,-0.03854001189985244,-0.03854001189985244,-0.03854001189985244,0.0,0.0,0.0,156658.63992154907
2020-06-30,213637.47331251908,186017.533203097,279338.77942296164,213637.47331251908,213637.47331251908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08621062976049029,0.08621062976049029,0.08621062976049029,0.08621062976049029,0.08621062976049029,0.08621062976049029,0.0,0.0,0.0,232055.2944272313
2020-07-31,215302.29321376575,172929.9037036054,270209.4678502676,215302.29321376575,215302.29321376575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04391044830916508,0.04391044830916508,0.04391044830916508,0.04391044830916508,0.04391044830916508,0.04391044830916508,0.0,0.0,0.0,224756.3134307735
2020-08-31,216967.11311501235,151047.12531763152,244608.5331616127,216967.11311501235,216967.11311501235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08008642683516219,-0.08008642683516219,-0.08008642683516219,-0.08008642683516219,-0.08008642683516219,-0.08008642683516219,0.0,0.0,0.0,199590.99228489056
2020-09-30,219159.6044986315,169788.48878073733,263204.2370064566,219159.6044986315,219159.6044986315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001233852212601678,-0.001233852212601678,-0.001233852212601678,-0.001233852212601678,-0.001233852212601678,-0.001233852212601678,0.0,0.0,0.0,218889.19393570797
2020-10-31,221425.17892837123,178313.47553648555,272654.08126892155,221425.17892837123,221425.17892837123,-0.0596624,-0.0596624,-0.0596624,0.0,0.0,0.0,-0.0596624,-0.0596624,-0.0596624,0.0,0.0,0.0,0.007528341584024954,0.007528341584024954,0.007528341584024954,0.06719074158402495,0.06719074158402495,0.06719074158402495,0.0,0.0,0.0,223092.14331064787
2020-11-30,223617.67031199034,134438.32039008645,230363.58642879705,223617.67031199034,223617.67031199034,-0.115802,-0.115802,-0.115802,0.0,0.0,0.0,-0.115802,-0.115802,-0.115802,0.0,0.0,0.0,-0.17687898358885223,-0.17687898358885223,-0.17687898358885223,-0.06107698358885222,-0.06107698358885222,-0.06107698358885222,0.0,0.0,0.0,184064.40407469842
2020-12-31,225883.24474173004,149932.25309180445,248923.43192447635,225883.24474173004,225883.24474173004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1157352990133552,-0.1157352990133552,-0.1157352990133552,-0.1157352990133552,-0.1157352990133552,-0.1157352990133552,0.0,0.0,0.0,199740.579869439
2021-01-31,228642.2773701198,176590.28411357454,266006.1435962109,228642.2773701198,228642.2773701198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04171944479668511,-0.04171944479668511,-0.04171944479668511,-0.04171944479668511,-0.04171944479668511,-0.04171944479668511,0.0,0.0,0.0,219103.44850118872
2021-02-28,231134.30684092344,181595.94959072545,279880.6447871316,231134.30684092344,231134.30684092344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006017317297502596,-0.006017317297502596,-0.006017317297502596,-0.006017317297502596,-0.006017317297502596,-0.006017317297502596,0.0,0.0,0.0,229743.4983783233
2021-03-31,233893.33946931324,201312.1082968168,297482.1667025877,233893.33946931324,233893.33946931324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06787984614763264,0.06787984614763264,0.06787984614763264,0.06787984614763264,0.06787984614763264,0.06787984614763264,0.0,0.0,0.0,249769.98336744623
2021-04-30,236843.9343143534,181648.45978445842,276558.09173111373,236843.9343143534,236843.9343143534,-0.0552153,-0.0552153,-0.0552153,0.0,0.0,0.0,0.0,0.0,0.0,-0.0552153,-0.0552153,-0.0552153,-0.03059084257457787,-0.03059084257457787,-0.03059084257457787,0.02462445742542213,0.02462445742542213,0.02462445742542213,0.0,0.0,0.0,229598.67880499933
2021-05-31,239892.88232089492,183245.2745344431,283540.0950631883,239892.88232089492,239892.88232089492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03490214958700499,-0.03490214958700499,-0.03490214958700499,-0.03490214958700499,-0.03490214958700499,-0.03490214958700499,0.0,0.0,0.0,231520.10505727326
2021-06-30,242843.4771659351,214884.44785154838,307936.238352939,242843.4771659351,242843.4771659351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08180522295380642,0.08180522295380642,0.08180522295380642,0.08180522295380642,0.08180522295380642,0.08180522295380642,0.0,0.0,0.0,262709.34195837204
