date_mvt,nb_sales,total_revenues
2015-04-10 00:00:00.000000 UTC,230,6696.98
2015-04-11 00:00:00.000000 UTC,108,3317.36
2015-04-13 00:00:00.000000 UTC,137,3818.3100000000004
2015-04-14 00:00:00.000000 UTC,192,4780.84
2015-04-15 00:00:00.000000 UTC,292,7170.369999999999
2015-04-16 00:00:00.000000 UTC,171,3820.5300000000007
2015-04-17 00:00:00.000000 UTC,225,6492.6
2015-04-18 00:00:00.000000 UTC,76,1453.2500000000002
2015-04-20 00:00:00.000000 UTC,153,3853.0399999999995
2015-04-21 00:00:00.000000 UTC,211,6998.5499999999993
2015-04-22 00:00:00.000000 UTC,244,7533.67
2015-04-23 00:00:00.000000 UTC,306,8505.11
2015-04-24 00:00:00.000000 UTC,161,3919.71
2015-04-25 00:00:00.000000 UTC,57,1686.72
2015-04-27 00:00:00.000000 UTC,190,4336.97
2015-04-28 00:00:00.000000 UTC,180,7467.7199999999993
2015-04-29 00:00:00.000000 UTC,177,5574.0999999999985
2015-04-30 00:00:00.000000 UTC,218,10866.25
2015-05-02 00:00:00.000000 UTC,50,1131.71
2015-05-04 00:00:00.000000 UTC,258,9388.79
2015-05-05 00:00:00.000000 UTC,226,10124.390000000001
2015-05-06 00:00:00.000000 UTC,214,5265.52
2015-05-07 00:00:00.000000 UTC,241,7820.15
2015-05-09 00:00:00.000000 UTC,13,505.31
2015-05-11 00:00:00.000000 UTC,210,5865.6
2015-05-12 00:00:00.000000 UTC,307,7717.4000000000005
2015-05-13 00:00:00.000000 UTC,323,10245.84
2015-05-14 00:00:00.000000 UTC,14,312.4
2015-05-15 00:00:00.000000 UTC,218,6446.38
2015-05-16 00:00:00.000000 UTC,60,1645.59
2015-05-18 00:00:00.000000 UTC,202,8239.6
2015-05-19 00:00:00.000000 UTC,276,11522.53
2015-05-20 00:00:00.000000 UTC,273,8525.29
2015-05-21 00:00:00.000000 UTC,239,6467.04
2015-05-22 00:00:00.000000 UTC,143,4962.72
2015-05-23 00:00:00.000000 UTC,72,1182.77
2015-05-25 00:00:00.000000 UTC,2,38.269999999999996
2015-05-26 00:00:00.000000 UTC,256,6901.4400000000005
2015-05-27 00:00:00.000000 UTC,203,6608.67
2015-05-28 00:00:00.000000 UTC,197,5959.66
2015-05-29 00:00:00.000000 UTC,219,5941.3
2015-05-30 00:00:00.000000 UTC,105,2919.28
2015-06-01 00:00:00.000000 UTC,268,6417.5999999999995
2015-06-02 00:00:00.000000 UTC,268,10443.67
2015-06-03 00:00:00.000000 UTC,279,7877.9699999999993
2015-06-04 00:00:00.000000 UTC,155,5216.29
2015-06-05 00:00:00.000000 UTC,200,6312.1900000000005
2015-06-06 00:00:00.000000 UTC,51,1093.65
2015-06-08 00:00:00.000000 UTC,203,4945.8899999999985
2015-06-09 00:00:00.000000 UTC,251,7845.0399999999991
2015-06-10 00:00:00.000000 UTC,113,3413.31
2015-06-11 00:00:00.000000 UTC,241,6025.89
